wp_id,titel,huidig_type,type_voorstel,type_zekerheid,channels_voorstel,channels_zekerheid,geen_channel_reden,motivering
92535,VeroMetal® Antimicrobial,Coatings,Coatings,hoog,Smart & Responsive,midden,,§3.4 metaalcoating met antimicrobiële werking
1978,Volimea,Coatings,Coatings,hoog,Biophilic & Human-Centred,midden,,§3.4 gips- en kalkcoating; dampopen en vochtregulerend
40462,Wooden colour,Coatings,Coatings,hoog,Bio-based & Living Materials | Circular,midden,,§3.4 pleistermateriaal gekleurd met houtstof uit een reststroom
35405,Xyhlo,Coatings,Coatings,hoog,Bio-based & Living Materials,midden,,§3.4 biofinish op basis van een schimmel. Circular niet onderbouwd
1631,XYMARA Effect Pigments,Coatings,Coatings,hoog,,midden,generiek,§3.4 effectpigmenten
120808,Acoustic Ceiling Spray-on Solutions,Coatings,Coatings,hoog,Acoustic | Circular | Bio-based & Living Materials,hoog,,"§3.4 spraysysteem; absorptie expliciet, cellulose uit oud papier"
36988,Alesta Powder Coating – The Finetextured Collection,Coatings,Coatings,hoog,,hoog,generiek,"§3.4 poedercoating; krasvastheid is een productclaim, geen channel (§5)"
42133,Baswa acoustic plaster,Coatings,Coatings,hoog,Acoustic | Biophilic & Human-Centred,hoog,,§3.4 akoestische pleister; absorptie expliciet
56993,Breathaplasta wall plaster,Coatings,Coatings,hoog,Bio-based & Living Materials | Biophilic & Human-Centred,hoog,,§3.4 hennep-kalkpleister; vocht en schimmel in de binnenruimte. Acoustic niet onderbouwd
1757,Camsiva,Coatings,Coatings,hoog,,hoog,generiek,§3.4 acrylaatpleister met glasdeeltjes
2058,Chrome-optics,Coatings,Coatings,hoog,,hoog,generiek,§3.4 spuittechniek voor spiegelend oppervlak; §3.1 chroomlook maakt geen Metals
2282,Coated Aluminium,Coatings,Metals,hoog,,hoog,generiek,§3.1 gelakt aluminium; de coating maakt geen tweede type
121364,CoolCork,Coatings,Coatings,hoog,Circular | Bio-based & Living Materials | Acoustic,hoog,,"§3.4 spray-upholstery; gerecyclede kurk, akoestiek genoemd"
121380,CoolJeans,Coatings,Coatings,hoog,Circular | Acoustic,hoog,,§3.4 spray-upholstery uit textielrecycling
121372,CoolLeather,Coatings,Leather,hoog,Circular,hoog,,§3.3 spraytoepassing van leerreststroom gaat naar Leather — letterlijk genoemd geval
27,Effect Varnish,Coatings,Coatings,hoog,,hoog,generiek,§3.4 effectvernis
18611,Hydro Chromic White,Coatings,Coatings,hoog,Smart & Responsive,hoog,,§3.4 hydrochrome inkt; reageert op vocht
1866,IDEApaint,Coatings,Coatings,hoog,,hoog,generiek,§3.4 verf
2732,IGP-DURA®mix,Coatings,Coatings,hoog,,hoog,generiek,§3.4 poedercoating
2733,IGP-DURA®xal,Coatings,Coatings,hoog,,hoog,generiek,§3.4 poedercoating
2441,IPC,Coatings,Coatings,hoog,,hoog,generiek,§3.4 polyurethaan coatingsysteem
2712,Magoxid-coat,Coatings,Coatings,hoog,,hoog,generiek,§3.4 oxidekeramische coating
2620,Matt Lacquer,Coatings,Coatings,hoog,,hoog,generiek,§3.4 matte laklaag voor MFC en HPL
2718,META-COAT,Coatings,Coatings,hoog,,hoog,generiek,§3.4 metaallaag op kunststofcomponenten
281,Photochromic Pigments,Coatings,Coatings,hoog,Smart & Responsive,hoog,,§3.4 fotochroom pigment
18712,Photopia AQ Ink,Coatings,Coatings,hoog,Smart & Responsive,hoog,,§3.4 fotochrome inkt
2063,Real-metal coatings by spraying,Coatings,Coatings,hoog,,hoog,generiek,§3.4 metaalspray
134014,Recycled finishes,Coatings,Coatings,hoog,Circular,hoog,,§3.4 afwerkingen uit minerale reststromen
42326,RECYCLED WALL PAINT INDOORS,Coatings,Coatings,hoog,Circular,hoog,,"§3.4 muurverf uit verfresten; LCA genoemd. Acoustic vervalt, er staat niets over geluid"
2204,Screen Goo,Coatings,Coatings,hoog,,hoog,generiek,§3.4 reflecterende acrylverf
1893,Signal Delightcoating,Coatings,Coatings,hoog,Smart & Responsive,hoog,,§3.4 nalichtende coating; laadt op met omgevingslicht
1808,Special FX Paints,Coatings,Coatings,hoog,,hoog,generiek,§3.4 effectverven
1901,SuperTherm,Coatings,Coatings,hoog,Energy & Resilience,hoog,,§3.4 isolerende coating; energiebesparing 20-70% geclaimd
508,Thermochromic Ink,Coatings,Coatings,hoog,Smart & Responsive,hoog,,§3.4 thermochrome inkt; reageert op warmte
